MBF-1,MBF-2,MBF-Overall,xover,mutation,mixingFactor,p1,p2,p3
3.35398,1.186704,2.270342,1,6,0.5,-,0.001,0.001
2.535555,1.967452,2.2515035,3,6,0.5,-,0.007,0.001
4.304346,0.164502,2.234424,1,6,0.7,-,0.003,0.001
1.032903,3.434671,2.233787,3,6,0.5,-,0.003,0.003
3.860027,0.527475,2.193751,1,6,0.3,-,0.001,0.001
2.374933,2.000004,2.1874685,2,6,0.5,-,0.001,0.003
2.626528,1.738213,2.1823705,3,6,0.3,-,0.005,0.001
0.266084,4.037521,2.1518025,2,6,0.7,-,0.001,0.005
1.846994,2.456504,2.151749,3,6,0.3,-,0.001,0.001
3.007848,1.270169,2.1390085,3,6,0.3,-,0.001,0.007
2.090754,2.143647,2.1172005,1,6,0.7,-,0.007,0.003
3.939707,0.282108,2.1109075,1,6,0.3,-,0.007,0.001
3.38933,0.812522,2.100926,2,6,0.1,-,0.005,0.005
0.974395,3.224753,2.099574,1,6,0.3,-,0.003,0.001
3.184949,0.969223,2.077086,1,6,0.1,-,0.003,0.003
3.372294,0.775547,2.0739205,1,6,0.7,-,0.003,0.007
1.26158,2.867336,2.064458,2,6,0.5,-,0.003,0.005
1.059715,3.061377,2.060546,3,6,0.1,-,0.003,0.001
2.735947,1.375413,2.05568,2,6,0.7,-,0.003,0.005
2.384112,1.60163,1.992871,1,6,0.3,-,0.001,0.007
3.359145,0.587647,1.973396,3,6,0.5,-,0.007,0.005
0.875809,3.068018,1.9719135,1,6,0.3,-,0.005,0.007
2.932362,1.008908,1.970635,1,6,0.3,-,0.007,0.007
1.051644,2.885763,1.9687035,1,6,0.3,-,0.003,0.003
2.254654,1.634045,1.9443495,1,6,0.1,-,0.007,0.003
2.742713,1.114406,1.9285595,3,6,0.7,-,0.005,0.007
1.111265,2.741812,1.9265385,2,6,0.3,-,0.007,0.003
2.222577,1.603103,1.91284,2,6,0.3,-,0.001,0.007
0.433776,3.381985,1.9078805,1,6,0.5,-,0.001,0.005
0.987573,2.801026,1.8942995,1,6,0.1,-,0.003,0.005
0.377158,3.404785,1.8909715,1,6,0.7,-,0.003,0.005
3.339362,0.369427,1.8543945,3,6,0.7,-,0.003,0.007
0.867131,2.812919,1.840025,2,6,0.7,-,0.007,0.001
0.971138,2.70529,1.838214,1,6,0.7,-,0.007,0.005
3.549859,0.109104,1.8294815,3,6,0.1,-,0.001,0.005
1.277532,2.362737,1.8201345,3,6,0.1,-,0.007,0.007
2.078208,1.557379,1.8177935,3,6,0.3,-,0.005,0.007
0.737473,2.883081,1.810277,3,6,0.5,-,0.005,0.003
2.008729,1.608079,1.808404,2,6,0.1,-,0.001,0.003
2.3488,1.259761,1.8042805,2,6,0.1,-,0.005,0.001
3.46809,0.120085,1.7940875,1,6,0.1,-,0.003,0.001
2.61404,0.950978,1.782509,3,6,0.7,-,0.007,0.003
1.811715,1.74886,1.7802875,2,6,0.1,-,0.001,0.007
1.361588,2.190584,1.776086,1,6,0.7,-,0.007,0.001
2.039445,1.447989,1.743717,2,6,0.3,-,0.007,0.001
1.939053,1.48546,1.7122565,2,6,0.5,-,0.003,0.001
1.318163,1.958549,1.638356,1,6,0.7,-,0.005,0.003
2.198031,0.971446,1.5847385,2,6,0.1,-,0.003,0.005
2.349851,0.809843,1.579847,3,6,0.3,-,0.005,0.003
1.667292,1.485919,1.5766055,1,6,0.7,-,0.005,0.001
1.930352,1.189915,1.5601335,1,6,0.3,-,0.007,0.003
1.016204,2.063348,1.539776,2,6,0.5,-,0.001,0.005
2.014779,1.043686,1.5292325,2,6,0.1,-,0.007,0.005
1.943281,1.105105,1.524193,2,6,0.1,-,0.007,0.001
1.803065,1.187242,1.4951535,2,6,0.3,-,0.005,0.007
2.364221,0.600675,1.482448,2,6,0.7,-,0.001,0.001
1.198227,1.745092,1.4716595,2,6,0.5,-,0.003,0.007
2.677089,0.238519,1.457804,2,6,0.1,-,0.007,0.007
1.537196,1.35589,1.446543,1,6,0.1,-,0.003,0.007
0.73568,2.135246,1.435463,3,6,0.1,-,0.007,0.003
0.7434,2.125082,1.434241,2,6,0.5,-,0.007,0.007
1.196291,1.656669,1.42648,3,6,0.7,-,0.001,0.007
1.224079,1.612255,1.418167,1,6,0.3,-,0.001,0.003
1.041719,1.742747,1.392233,3,6,0.5,-,0.003,0.005
1.574082,1.191367,1.3827245,3,6,0.1,-,0.003,0.005
1.451132,1.298701,1.3749165,2,6,0.1,-,0.005,0.003
2.346036,0.357949,1.3519925,2,6,0.5,-,0.005,0.005
2.017359,0.629865,1.323612,1,6,0.5,-,0.003,0.003
0.92273,1.720557,1.3216435,2,6,0.3,-,0.003,0.007
0.727893,1.883553,1.305723,3,6,0.5,-,0.003,0.007
0.639236,1.907227,1.2732315,1,6,0.5,-,0.003,0.005
0.672401,1.857614,1.2650075,2,6,0.3,-,0.005,0.005
0.81319,1.674988,1.244089,1,6,0.5,-,0.007,0.003
1.657653,0.803822,1.2307375,2,6,0.5,-,0.001,0.001
1.011452,1.4461,1.228776,3,6,0.5,-,0.005,0.001
0.126932,2.296158,1.211545,3,6,0.7,-,0.007,0.007
0.109354,2.308917,1.2091355,3,6,0.5,-,0.001,0.003
0.294381,2.118644,1.2065125,1,6,0.3,-,0.005,0.001
0.331444,2.070976,1.20121,2,6,0.3,-,0.001,0.005
0.68626,1.704213,1.1952365,2,6,0.3,-,0.003,0.001
0.997539,1.295724,1.1466315,3,6,0.5,-,0.005,0.007
0.110629,2.127059,1.118844,3,6,0.5,-,0.001,0.005
0.144596,2.009907,1.0772515,1,6,0.7,-,0.005,0.007
0.392224,1.743646,1.067935,3,6,0.5,-,0.003,0.001
0.146381,1.913334,1.0298575,3,6,0.7,-,0.001,0.003
0.595282,1.440828,1.018055,3,6,0.5,-,0.007,0.003
0.880449,1.091346,0.9858975,2,6,0.5,-,0.005,0.007
1.232186,0.525033,0.8786095,3,6,0.7,-,0.005,0.005
0.527221,1.222952,0.8750865,1,6,0.1,-,0.005,0.005
1.487633,0.151648,0.8196405,3,6,0.5,-,0.001,0.007
0.146625,1.416316,0.7814705,2,6,0.7,-,0.005,0.005
0.726032,0.687175,0.7066035,2,6,0.1,-,0.001,0.001
1.32092,0.082257,0.7015885,2,6,0.7,-,0.005,0.007
1.284352,0.087527,0.6859395,3,6,0.7,-,0.007,0.001
0.179116,1.128904,0.65401,3,6,0.3,-,0.003,0.001
0.728991,0.543836,0.6364135,1,6,0.3,-,0.001,0.005
0.850041,0.073085,0.461563,2,6,0.1,-,0.001,0.005
0.095033,0.329401,0.212217,1,6,0.7,-,0.003,0.003
,,,,,,,,
