MBF,xover,mutation,mixingFactor,p1,p2,p3
9.968949,3,6,0.7,-,0.01,0.01
9.968886,3,6,0.5,-,0.03,0.03
9.96867,3,6,0.5,-,0.03,0.01
9.96841,1,6,0.1,-,0.07,0.01
9.968029,3,6,0.7,-,0.01,0.07
9.968007,1,6,0.3,-,0.01,0.03
9.967868,3,6,0.7,-,0.05,0.03
9.967775,3,6,0.3,-,0.01,0.01
9.967573,3,6,0.5,-,0.07,0.03
9.967504,3,6,0.3,-,0.05,0.05
9.967323,2,6,0.3,-,0.05,0.05
9.967206,3,6,0.5,-,0.05,0.07
9.966899,1,6,0.1,-,0.05,0.03
9.966423,2,6,0.7,-,0.01,0.01
9.966211,1,6,0.1,-,0.01,0.03
9.965883,1,6,0.1,-,0.05,0.07
9.965562,3,6,0.7,-,0.07,0.07
9.965343,2,6,0.1,-,0.03,0.01
9.965328,3,6,0.5,-,0.01,0.07
9.965038,3,6,0.7,-,0.01,0.03
9.964845,2,6,0.1,-,0.01,0.05
9.964522,2,6,0.1,-,0.01,0.07
9.964428,3,6,0.7,-,0.03,0.03
9.964251,3,6,0.7,-,0.05,0.05
9.963889,3,6,0.5,-,0.07,0.07
9.963805,3,6,0.3,-,0.03,0.03
9.963661,1,6,0.1,-,0.07,0.03
9.96294,1,6,0.1,-,0.01,0.07
9.962282,3,6,0.5,-,0.01,0.03
9.961563,3,6,0.7,-,0.01,0.05
9.961292,2,6,0.1,-,0.05,0.03
9.961107,2,6,0.1,-,0.07,0.01
9.960601,1,6,0.1,-,0.05,0.01
9.960388,3,6,0.1,-,0.01,0.07
9.960143,3,6,0.3,-,0.05,0.01
9.959908,2,6,0.1,-,0.01,0.01
9.959714,3,6,0.3,-,0.01,0.05
9.959504,3,6,0.1,-,0.07,0.03
9.959378,3,6,0.7,-,0.07,0.05
9.959369,3,6,0.5,-,0.01,0.01
9.959028,3,6,0.3,-,0.05,0.07
9.958903,3,6,0.5,-,0.05,0.01
9.958497,3,6,0.7,-,0.03,0.01
9.958032,3,6,0.1,-,0.03,0.03
9.957644,3,6,0.1,-,0.07,0.01
9.957517,3,6,0.1,-,0.05,0.01
9.957191,3,6,0.1,-,0.03,0.01
9.956939,3,6,0.3,-,0.01,0.03
9.95692,3,6,0.3,-,0.07,0.07
9.956104,3,6,0.1,-,0.05,0.07
9.955948,3,6,0.3,-,0.07,0.01
9.955931,3,6,0.1,-,0.05,0.03
9.95588,3,6,0.1,-,0.01,0.01
9.955051,1,6,0.1,-,0.05,0.05
9.954159,3,6,0.3,-,0.07,0.03
9.953646,3,6,0.1,-,0.03,0.05
9.953469,3,6,0.3,-,0.03,0.01
9.953455,3,6,0.1,-,0.07,0.07
9.952388,3,6,0.5,-,0.07,0.01
9.952268,3,6,0.1,-,0.05,0.05
9.952261,3,6,0.7,-,0.05,0.07
9.951786,3,6,0.3,-,0.05,0.03
9.951107,3,6,0.3,-,0.03,0.07
9.95087,3,6,0.5,-,0.05,0.05
9.950361,3,6,0.1,-,0.03,0.07
9.950061,3,6,0.3,-,0.03,0.05
9.948904,3,6,0.5,-,0.03,0.07
9.947835,3,6,0.3,-,0.01,0.07
9.947378,3,6,0.3,-,0.07,0.05
9.947121,3,6,0.1,-,0.01,0.05
9.946545,3,6,0.1,-,0.01,0.03
9.942308,3,6,0.1,-,0.07,0.05
