generation,P_comb1,P_comb2,P_comb3,MBF
0,0.493333,0.103259,0.403407,9.985764
1,0.517195,0.090683,0.392122,9.987857
2,0.517195,0.090683,0.392122,9.987857
3,0.382240,0.259557,0.358203,9.989506
4,0.360941,0.293729,0.345330,9.989814
5,0.360941,0.293729,0.345330,9.989814
6,0.360941,0.293729,0.345330,9.989814
