generation,P_comb1,P_comb2,P_comb3,MBF
0,0.458939,0.349819,0.191242,9.986000
1,0.299907,0.333681,0.366411,9.986736
2,0.299907,0.333681,0.366411,9.986736
3,0.299907,0.333681,0.366411,9.986736
4,0.299907,0.333681,0.366411,9.986736
5,0.299907,0.333681,0.366411,9.986736
