generation,P_comb1,P_comb2,P_comb3,MBF
0,0.534517,0.131043,0.334439,8.264797
1,0.622206,0.033794,0.344001,8.404008
2,0.622206,0.033794,0.344001,8.404008
3,0.622206,0.033794,0.344001,8.404008
4,0.622206,0.033794,0.344001,8.404008
5,0.622206,0.033794,0.344001,8.404008
6,0.622206,0.033794,0.344001,8.404008
7,0.622206,0.033794,0.344001,8.404008
8,0.622206,0.033794,0.344001,8.404008
