generation,P_comb1,P_comb2,P_comb3,MBF
0,0.533655,0.016669,0.449676,8.227774
1,0.719609,0.170071,0.110320,8.286541
2,0.719609,0.170071,0.110320,8.286541
3,0.719609,0.170071,0.110320,8.286541
4,0.719609,0.170071,0.110320,8.286541
5,0.719609,0.170071,0.110320,8.286541
6,0.719609,0.170071,0.110320,8.286541
7,0.329007,0.332271,0.338722,8.305028
