generation,P_comb1,P_comb2,P_comb3,MBF
0,0.607925,0.225946,0.166129,7.977227
1,0.719693,0.207766,0.072542,8.323219
2,0.719693,0.207766,0.072542,8.323219
3,0.799700,0.199736,0.000564,8.357272
4,0.799700,0.199736,0.000564,8.357272
5,0.799700,0.199736,0.000564,8.357272
6,0.799700,0.199736,0.000564,8.357272
7,0.799700,0.199736,0.000564,8.357272
8,0.903757,0.065053,0.031190,8.367886
