generation,P_comb1,P_comb2,P_comb3,MBF
0,0.545046,0.368724,0.086230,8.151207
1,0.545046,0.368724,0.086230,8.151207
2,0.545046,0.368724,0.086230,8.151207
3,0.278994,0.251139,0.469867,8.278040
4,0.278994,0.251139,0.469867,8.278040
5,0.331407,0.297052,0.371541,8.364685
6,0.331407,0.297052,0.371541,8.364685
7,0.331407,0.297052,0.371541,8.364685
