generation,P_comb1,P_comb2,P_comb3,MBF
0,0.320727,0.379113,0.300160,9.987489
1,0.320727,0.379113,0.300160,9.987489
2,0.320727,0.379113,0.300160,9.987489
3,0.374525,0.360067,0.265409,9.988155
4,0.374525,0.360067,0.265409,9.988155
5,0.374525,0.360067,0.265409,9.988155
6,0.374525,0.360067,0.265409,9.988155
7,0.374525,0.360067,0.265409,9.988155
8,0.374525,0.360067,0.265409,9.988155
9,0.374525,0.360067,0.265409,9.988155
