generation,P_comb1,P_comb2,P_comb3,MBF
0,0.719321,0.074429,0.206250,9.985499
1,0.642116,0.123735,0.234148,9.986089
2,0.668074,0.233809,0.098117,9.987857
3,0.464996,0.296578,0.238426,9.990003
4,0.464996,0.296578,0.238426,9.990003
5,0.464996,0.296578,0.238426,9.990003
6,0.464996,0.296578,0.238426,9.990003
7,0.464996,0.296578,0.238426,9.990003
