evaluation,fitness
10,6.908422552190425E-10
30,2.2182876905368097E-8
50,2.227198571442591E-8
70,2.6154749697700424E-8
90,2.9724330096917614E-8
110,9.613607968022831E-8
130,2.2141921084010283E-6
150,2.2141921084010283E-6
170,2.2141921084010283E-6
190,2.2141921084010283E-6
210,6.911354572487809E-6
230,6.911354572487809E-6
250,5.4410764682257235E-5
270,5.4410764682257235E-5
290,5.567115335373795E-5
310,5.567115335373795E-5
330,5.921040162158779E-5
350,5.921040162158779E-5
370,7.784452213476646E-5
390,2.6410609253352897E-4
410,2.665147102969341E-4
430,6.902204456917754E-4
450,8.617525047999173E-4
470,8.617525047999173E-4
490,9.79316797189262E-4
510,9.855971406272936E-4
530,9.855971406272936E-4
550,9.855971406272936E-4
570,9.855971406272936E-4
590,0.005184494794339395
610,0.005184494794339395
630,0.006258573398430948
650,0.006258573398430948
670,0.007870210567482343
690,0.007883593909475108
710,0.007883593909475108
730,0.008751969802704766
750,0.008751969802704766
770,0.009705347251050957
790,0.016138333771012956
810,0.016138333771012956
830,0.016138333771012956
850,0.016138333771012984
870,0.016138333771012984
890,0.016138333771012984
910,0.016138333771012984
930,0.016138333771012984
950,0.016138333771012984
970,0.020039245977661456
990,0.020039245977661456
1010,0.02288309772994973
1030,0.02288309772994973
1050,0.02288309772994973
1070,0.02288309772994973
1090,0.02288309772994973
1110,0.037331729698529104
1130,0.037331729698529104
1150,0.037331729698529104
1170,0.037905730548594516
1190,0.055194805097221286
1210,0.05801784401082032
1230,0.05801784401082032
1250,0.05801784401082032
1270,0.05801784401082032
1290,0.06172919244598339
1310,0.07247219166034903
1330,0.07255707075717092
1350,0.07491643398701173
1370,0.07571376438419017
1390,0.09191304173644695
1410,0.09238324214265878
1430,0.09251729357813482
1450,0.09251729357813482
1470,0.09370087720180442
1490,0.10045679816132344
1510,0.3067152262988076
1530,0.47792692718294255
1550,0.48622787420083363
1570,0.48622787420083363
1590,0.48622787420083385
1610,0.48622787420083385
1630,0.48622787420083385
1650,0.48622787420083385
1670,0.48622787420083385
1690,0.48622787420083385
1710,0.48622787420083385
1730,5.103803751466729
1750,5.103803751466729
1770,5.10380375146673
1790,5.10380375146673
1810,5.10380375146673
1830,5.10380375146673
1850,5.189597846546668
1870,5.189597846546668
1890,5.189597846546668
1910,6.247740445982201
1930,6.247740445982202
1950,8.721379765640048
1970,8.721379765640048
1990,8.721379765640048
2010,8.721379765640048
2030,8.721379765640048
2050,8.721379765640048
2070,8.721379765640048
2090,8.721379765640048
2110,9.065275503687515
2130,9.065275503687515
2150,9.22003440684962
2170,9.22003440684962
2190,9.60454014308003
2210,9.60454014308003
2230,9.60454014308003
2250,9.60454014308003
2270,9.60454014308003
2290,9.60454014308003
2310,9.625988081767323
2330,9.625988081767323
2350,9.625988081767323
2370,9.625988081767323
2390,9.6485082211841
2410,9.6485082211841
2430,9.6485082211841
2450,9.674302024340232
2470,9.674302024340232
2490,9.674302024340232
2510,9.674302024340232
2530,9.674302024340232
2550,9.674302024340232
2570,9.674302024340232
2590,9.674302024340232
2610,9.674302024340232
2630,9.674302024340232
2650,9.674302024340232
2670,9.674302024340232
2690,9.674302024340232
2710,9.674302024340232
2730,9.674302024340232
2750,9.674302024340232
2770,9.674302024340232
2790,9.674302024340232
2810,9.674302024340232
2830,9.674302024340232
2850,9.674302024340232
2870,9.674302024340232
2890,9.674302024340232
2910,9.674302024340232
2930,9.674302024340232
2950,9.674302024340232
2970,9.674302024340232
2990,9.674302024340232
3010,9.674302024340232
3030,9.674302024340232
3050,9.674302024340232
3070,9.674302024340232
3090,9.674302024340232
3110,9.674302024340232
3130,9.674302024340232
3150,9.674302024340232
3170,9.674302024340232
3190,9.674302024340232
3210,9.674302024340232
3230,9.674302024340232
3250,9.674302024340232
3270,9.674302024340232
3290,9.674302024340232
3310,9.674302024340232
3330,9.674302024340232
3350,9.674302024340232
3370,9.674302024340232
3390,9.674302024340232
3410,9.674302024340232
3430,9.674302024340232
3450,9.674302024340232
3470,9.674302024340232
3490,9.674302024340232
3510,9.674302024340232
3530,9.674302024340232
3550,9.674302024340232
3570,9.674302024340232
3590,9.674302024340232
3610,9.674302024340232
3630,9.674302024340232
3650,9.674302024340232
3670,9.674302024340232
3690,9.692072887913978
3710,9.692072887913978
3730,9.692072887913978
3750,9.692072887913978
3770,9.692072887913978
3790,9.692072887913978
3810,9.692072887913978
3830,9.692072887913978
3850,9.692072887913978
3870,9.692072887913978
3890,9.692072887913978
3910,9.692072887913978
3930,9.692072887913978
3950,9.692072887913978
3970,9.692072887913978
3990,9.721336235533464
4010,9.721336235533464
4030,9.721336235533464
4050,9.721336235533464
4070,9.721336235533464
4090,9.721336235533464
4110,9.721336235533464
4130,9.721336235533464
4150,9.721336235533464
4170,9.739716004266993
4190,9.739716004266993
4210,9.739716004266993
4230,9.739716004266993
4250,9.739716004266993
4270,9.882914324948157
4290,9.882914324948159
4310,9.882914324948159
4330,9.882914324948159
4350,9.882914324948159
4370,9.882914324948159
4390,9.882914324948159
4410,9.89251792319937
4430,9.89251792319937
4450,9.89251792319937
4470,9.89251792319937
4490,9.89251792319937
4510,9.89251792319937
4530,9.89251792319937
4550,9.89251792319937
4570,9.89251792319937
4590,9.89251792319937
4610,9.89251792319937
4630,9.89251792319937
4650,9.89251792319937
4670,9.89251792319937
4690,9.89251792319937
4710,9.89251792319937
4730,9.89251792319937
4750,9.89251792319937
4770,9.89251792319937
4790,9.89251792319937
4810,9.89251792319937
4830,9.89251792319937
4850,9.89251792319937
4870,9.89251792319937
