generation,P_comb1,P_comb2,P_comb3,MBF
0,0.703527,0.253486,0.042986,9.985618
1,0.501991,0.362604,0.135405,9.990892
2,0.501991,0.362604,0.135405,9.990892
3,0.501991,0.362604,0.135405,9.990892
4,0.501991,0.362604,0.135405,9.990892
5,0.501991,0.362604,0.135405,9.990892
