generation,P_comb1,P_comb2,P_comb3,MBF
0,0.079885,0.484883,0.435231,9.984214
1,0.345577,0.261672,0.392751,9.987558
2,0.345577,0.261672,0.392751,9.987558
3,0.345577,0.261672,0.392751,9.987558
4,0.345577,0.261672,0.392751,9.987558
5,0.345577,0.261672,0.392751,9.987558
6,0.318416,0.338008,0.343576,9.987787
