generation,P_comb1,P_comb2,P_comb3,MBF
0,0.458510,0.099463,0.442027,9.988253
1,0.367098,0.152894,0.480007,9.988776
2,0.420885,0.183024,0.396091,9.991211
3,0.420885,0.183024,0.396091,9.991211
4,0.420885,0.183024,0.396091,9.991211
5,0.420885,0.183024,0.396091,9.991211
6,0.420885,0.183024,0.396091,9.991211
7,0.420885,0.183024,0.396091,9.991211
