generation,P_comb1,P_comb2,P_comb3,MBF
0,0.801498,0.070448,0.128054,9.989501
1,0.801498,0.070448,0.128054,9.989501
2,0.801498,0.070448,0.128054,9.989501
3,0.801498,0.070448,0.128054,9.989501
4,0.349540,0.316265,0.334195,9.990599
5,0.349540,0.316265,0.334195,9.990599
6,0.349540,0.316265,0.334195,9.990599
