generation,P_comb1,P_comb2,P_comb3,MBF
0,0.446476,0.491676,0.061848,9.989494
1,0.446476,0.491676,0.061848,9.989494
2,0.446476,0.491676,0.061848,9.989494
3,0.446476,0.491676,0.061848,9.989494
4,0.446476,0.491676,0.061848,9.989494
5,0.446476,0.491676,0.061848,9.989494
