generation,P_comb1,P_comb2,P_comb3,MBF
0,0.241982,0.475627,0.282390,7.736490
1,0.504009,0.300850,0.195141,8.220670
2,0.504009,0.300850,0.195141,8.220670
3,0.504009,0.300850,0.195141,8.220670
4,0.369577,0.289297,0.341126,8.256441
5,0.581151,0.099724,0.319125,8.549934
6,0.581151,0.099724,0.319125,8.549934
7,0.581151,0.099724,0.319125,8.549934
