generation,P_comb1,P_comb2,P_comb3,MBF
0,0.723306,0.254959,0.021734,8.723180
1,0.797042,0.159259,0.043698,9.215709
2,0.797042,0.159259,0.043698,9.215709
3,0.797042,0.159259,0.043698,9.215709
4,0.797042,0.159259,0.043698,9.215709
