generation,P_comb1,P_comb2,P_comb3,MBF
0,0.750674,0.104573,0.144753,8.343950
1,0.750674,0.104573,0.144753,8.343950
2,0.750674,0.104573,0.144753,8.343950
3,0.750674,0.104573,0.144753,8.343950
4,0.750674,0.104573,0.144753,8.343950
