p1,p2,p3,MBF
0.581151,0.099724,0.319125,7.554060901
0.581151,0.099724,0.319125,8.683110339
0.581151,0.099724,0.319125,7.75667673
0.581151,0.099724,0.319125,8.066011876
0.581151,0.099724,0.319125,8.678024444
0.581151,0.099724,0.319125,8.267683318
0.581151,0.099724,0.319125,9.00585049
0.581151,0.099724,0.319125,8.520687499
0.581151,0.099724,0.319125,9.174178784
0.581151,0.099724,0.319125,8.917279165
