MBF,xover,mutation,mixingfactor,p1,p2,p3
0.000002,1,4,0.0,0.01,-,-
0.000723,1,4,0.0,0.05,-,-
0.000755,1,4,0.0,0.1,-,-
0.000093,1,4,0.25,0.01,-,-
0.001972,1,4,0.25,0.05,-,-
0.002223,1,4,0.25,0.1,-,-
0.000000,1,4,0.5,0.01,-,-
0.000009,1,4,0.5,0.05,-,-
0.000000,1,4,0.5,0.1,-,-
0.003106,1,4,0.75,0.01,-,-
0.000000,1,4,0.75,0.05,-,-
0.000634,1,4,0.75,0.1,-,-
0.006840,1,4,1.0,0.01,-,-
0.000000,1,4,1.0,0.05,-,-
0.013294,1,4,1.0,0.1,-,-
0.000018,1,5,0.0,-,0.01,0.01
0.000000,1,5,0.0,-,0.01,0.05
0.000000,1,5,0.0,-,0.01,0.1
0.000071,1,5,0.0,-,0.05,0.01
0.000011,1,5,0.0,-,0.05,0.05
0.000024,1,5,0.0,-,0.05,0.1
0.000149,1,5,0.0,-,0.1,0.01
0.000037,1,5,0.0,-,0.1,0.05
0.000125,1,5,0.0,-,0.1,0.1
0.012476,1,5,0.25,-,0.01,0.01
0.000044,1,5,0.25,-,0.01,0.05
0.000172,1,5,0.25,-,0.01,0.1
0.000494,1,5,0.25,-,0.05,0.01
0.000311,1,5,0.25,-,0.05,0.05
0.296063,1,5,0.25,-,0.05,0.1
0.000011,1,5,0.25,-,0.1,0.01
0.000001,1,5,0.25,-,0.1,0.05
0.000001,1,5,0.25,-,0.1,0.1
0.000020,1,5,0.5,-,0.01,0.01
0.002288,1,5,0.5,-,0.01,0.05
0.000021,1,5,0.5,-,0.01,0.1
0.000227,1,5,0.5,-,0.05,0.01
0.000505,1,5,0.5,-,0.05,0.05
0.000487,1,5,0.5,-,0.05,0.1
0.000200,1,5,0.5,-,0.1,0.01
0.001803,1,5,0.5,-,0.1,0.05
0.000001,1,5,0.5,-,0.1,0.1
0.000098,1,5,0.75,-,0.01,0.01
0.003434,1,5,0.75,-,0.01,0.05
0.004814,1,5,0.75,-,0.01,0.1
0.000354,1,5,0.75,-,0.05,0.01
0.000000,1,5,0.75,-,0.05,0.05
0.000023,1,5,0.75,-,0.05,0.1
0.000057,1,5,0.75,-,0.1,0.01
0.000015,1,5,0.75,-,0.1,0.05
0.000000,1,5,0.75,-,0.1,0.1
0.000142,1,5,1.0,-,0.01,0.01
0.000005,1,5,1.0,-,0.01,0.05
0.000002,1,5,1.0,-,0.01,0.1
0.000034,1,5,1.0,-,0.05,0.01
0.000483,1,5,1.0,-,0.05,0.05
0.000004,1,5,1.0,-,0.05,0.1
0.000316,1,5,1.0,-,0.1,0.01
0.000042,1,5,1.0,-,0.1,0.05
0.000001,1,5,1.0,-,0.1,0.1
0.000010,1,6,0.0,-,0.01,0.01
0.000062,1,6,0.0,-,0.01,0.05
0.000890,1,6,0.0,-,0.01,0.1
0.005716,1,6,0.0,-,0.05,0.01
0.000008,1,6,0.0,-,0.05,0.05
0.000127,1,6,0.0,-,0.05,0.1
0.000347,1,6,0.0,-,0.1,0.01
0.000002,1,6,0.0,-,0.1,0.05
0.004070,1,6,0.0,-,0.1,0.1
0.000018,1,6,0.25,-,0.01,0.01
0.000001,1,6,0.25,-,0.01,0.05
0.000000,1,6,0.25,-,0.01,0.1
0.000025,1,6,0.25,-,0.05,0.01
0.000013,1,6,0.25,-,0.05,0.05
0.000003,1,6,0.25,-,0.05,0.1
0.006389,1,6,0.25,-,0.1,0.01
0.000163,1,6,0.25,-,0.1,0.05
0.000121,1,6,0.25,-,0.1,0.1
0.000058,1,6,0.5,-,0.01,0.01
0.000050,1,6,0.5,-,0.01,0.05
0.000001,1,6,0.5,-,0.01,0.1
0.000005,1,6,0.5,-,0.05,0.01
0.000000,1,6,0.5,-,0.05,0.05
0.000002,1,6,0.5,-,0.05,0.1
0.000004,1,6,0.5,-,0.1,0.01
0.000111,1,6,0.5,-,0.1,0.05
0.000010,1,6,0.5,-,0.1,0.1
0.007101,1,6,0.75,-,0.01,0.01
0.022290,1,6,0.75,-,0.01,0.05
0.002401,1,6,0.75,-,0.01,0.1
0.000001,1,6,0.75,-,0.05,0.01
0.000032,1,6,0.75,-,0.05,0.05
0.000130,1,6,0.75,-,0.05,0.1
0.007235,1,6,0.75,-,0.1,0.01
0.000984,1,6,0.75,-,0.1,0.05
0.000508,1,6,0.75,-,0.1,0.1
0.000137,1,6,1.0,-,0.01,0.01
0.002359,1,6,1.0,-,0.01,0.05
0.000000,1,6,1.0,-,0.01,0.1
0.000286,1,6,1.0,-,0.05,0.01
0.000002,1,6,1.0,-,0.05,0.05
