MBF,xover,mutation,mixingfactor,p1,p2,p3
0.005744,1,4,0.3,0.01,-,-
0.006633,1,4,0.3,0.05,-,-
0.002348,1,4,0.3,0.1,-,-
0.007095,1,4,0.5,0.01,-,-
0.020259,1,4,0.5,0.05,-,-
0.000778,1,4,0.5,0.1,-,-
0.002783,1,4,0.7,0.01,-,-
0.004935,1,4,0.7,0.05,-,-
0.004255,1,4,0.7,0.1,-,-
0.004336,1,5,0.3,-,0.001,0.005
0.013239,1,5,0.3,-,0.001,0.007
0.003279,1,5,0.3,-,0.001,0.009
0.005113,1,5,0.3,-,0.003,0.005
0.000969,1,5,0.3,-,0.003,0.007
0.000763,1,5,0.3,-,0.003,0.009
0.016117,1,5,0.3,-,0.005,0.005
0.004784,1,5,0.3,-,0.005,0.007
0.010827,1,5,0.3,-,0.005,0.009
0.001742,1,5,0.5,-,0.001,0.005
0.013187,1,5,0.5,-,0.001,0.007
0.001186,1,5,0.5,-,0.001,0.009
0.013641,1,5,0.5,-,0.003,0.005
0.000608,1,5,0.5,-,0.003,0.007
0.035915,1,5,0.5,-,0.003,0.009
0.005446,1,5,0.5,-,0.005,0.005
0.006643,1,5,0.5,-,0.005,0.007
0.008433,1,5,0.5,-,0.005,0.009
0.007234,1,5,0.7,-,0.001,0.005
0.003096,1,5,0.7,-,0.001,0.007
0.006898,1,5,0.7,-,0.001,0.009
0.005617,1,5,0.7,-,0.003,0.005
0.005112,1,5,0.7,-,0.003,0.007
0.005820,1,5,0.7,-,0.003,0.009
0.021857,1,5,0.7,-,0.005,0.005
0.004420,1,5,0.7,-,0.005,0.007
0.002883,1,5,0.7,-,0.005,0.009
0.001691,1,6,0.3,-,0.001,0.005
0.001405,1,6,0.3,-,0.001,0.007
0.012497,1,6,0.3,-,0.001,0.009
0.001431,1,6,0.3,-,0.003,0.005
0.007378,1,6,0.3,-,0.003,0.007
0.002173,1,6,0.3,-,0.003,0.009
0.002314,1,6,0.3,-,0.005,0.005
0.022131,1,6,0.3,-,0.005,0.007
0.002663,1,6,0.3,-,0.005,0.009
0.001995,1,6,0.5,-,0.001,0.005
0.000998,1,6,0.5,-,0.001,0.007
0.001630,1,6,0.5,-,0.001,0.009
0.006785,1,6,0.5,-,0.003,0.005
0.005893,1,6,0.5,-,0.003,0.007
0.005556,1,6,0.5,-,0.003,0.009
0.002070,1,6,0.5,-,0.005,0.005
0.009018,1,6,0.5,-,0.005,0.007
0.003239,1,6,0.5,-,0.005,0.009
0.007064,1,6,0.7,-,0.001,0.005
0.015991,1,6,0.7,-,0.001,0.007
0.001524,1,6,0.7,-,0.001,0.009
0.005724,1,6,0.7,-,0.003,0.005
0.008305,1,6,0.7,-,0.003,0.007
0.006261,1,6,0.7,-,0.003,0.009
0.001923,1,6,0.7,-,0.005,0.005
0.002958,1,6,0.7,-,0.005,0.007
0.002643,1,6,0.7,-,0.005,0.009
0.007752,2,4,0.3,0.01,-,-
0.000512,2,4,0.3,0.05,-,-
0.000722,2,4,0.3,0.1,-,-
0.010367,2,4,0.5,0.01,-,-
0.002794,2,4,0.5,0.05,-,-
0.001652,2,4,0.5,0.1,-,-
0.002834,2,4,0.7,0.01,-,-
0.003905,2,4,0.7,0.05,-,-
0.009479,2,4,0.7,0.1,-,-
0.002017,2,5,0.3,-,0.001,0.005
0.010926,2,5,0.3,-,0.001,0.007
0.002815,2,5,0.3,-,0.001,0.009
0.000657,2,5,0.3,-,0.003,0.005
0.002175,2,5,0.3,-,0.003,0.007
0.001400,2,5,0.3,-,0.003,0.009
0.003808,2,5,0.3,-,0.005,0.005
0.004346,2,5,0.3,-,0.005,0.007
0.021487,2,5,0.3,-,0.005,0.009
0.003028,2,5,0.5,-,0.001,0.005
0.006279,2,5,0.5,-,0.001,0.007
0.005919,2,5,0.5,-,0.001,0.009
0.001547,2,5,0.5,-,0.003,0.005
0.008639,2,5,0.5,-,0.003,0.007
0.002319,2,5,0.5,-,0.003,0.009
0.010077,2,5,0.5,-,0.005,0.005
0.002711,2,5,0.5,-,0.005,0.007
0.004198,2,5,0.5,-,0.005,0.009
0.005275,2,5,0.7,-,0.001,0.005
0.004090,2,5,0.7,-,0.001,0.007
0.012289,2,5,0.7,-,0.001,0.009
0.002730,2,5,0.7,-,0.003,0.005
0.009408,2,5,0.7,-,0.003,0.007
0.009590,2,5,0.7,-,0.003,0.009
0.019378,2,5,0.7,-,0.005,0.005
0.003382,2,5,0.7,-,0.005,0.007
0.004355,2,5,0.7,-,0.005,0.009
0.003122,2,6,0.3,-,0.001,0.005
0.012330,2,6,0.3,-,0.001,0.007
0.048375,2,6,0.3,-,0.001,0.009
0.106255,2,6,0.3,-,0.003,0.005
0.001860,2,6,0.3,-,0.003,0.007
0.009202,2,6,0.3,-,0.003,0.009
0.004827,2,6,0.3,-,0.005,0.005
0.003353,2,6,0.3,-,0.005,0.007
0.002185,2,6,0.3,-,0.005,0.009
0.011883,2,6,0.5,-,0.001,0.005
0.002641,2,6,0.5,-,0.001,0.007
0.003555,2,6,0.5,-,0.001,0.009
0.002767,2,6,0.5,-,0.003,0.005
0.036001,2,6,0.5,-,0.003,0.007
0.010249,2,6,0.5,-,0.003,0.009
0.007827,2,6,0.5,-,0.005,0.005
0.004163,2,6,0.5,-,0.005,0.007
0.001306,2,6,0.5,-,0.005,0.009
0.000554,2,6,0.7,-,0.001,0.005
0.009558,2,6,0.7,-,0.001,0.007
0.001350,2,6,0.7,-,0.001,0.009
0.007208,2,6,0.7,-,0.003,0.005
0.007609,2,6,0.7,-,0.003,0.007
0.004507,2,6,0.7,-,0.003,0.009
0.004258,2,6,0.7,-,0.005,0.005
0.003099,2,6,0.7,-,0.005,0.007
0.004451,2,6,0.7,-,0.005,0.009
