MBF,xover,mutation,mixingfactor,p1,p2,p3
0.012259,2,5,0.0,-,0.05,0.01
0.000716,2,5,0.0,-,0.05,0.05
0.000026,2,5,0.0,-,0.05,0.1
0.000023,2,5,0.0,-,0.1,0.01
0.000023,2,5,0.0,-,0.1,0.05
0.000036,2,5,0.0,-,0.1,0.1
0.000000,2,5,0.25,-,0.01,0.01
0.000032,2,5,0.25,-,0.01,0.05
0.000277,2,5,0.25,-,0.01,0.1
0.000308,2,5,0.25,-,0.05,0.01
0.000044,2,5,0.25,-,0.05,0.05
0.000292,2,5,0.25,-,0.05,0.1
0.000514,2,5,0.25,-,0.1,0.01
0.000018,2,5,0.25,-,0.1,0.05
0.000095,2,5,0.25,-,0.1,0.1
0.000020,2,5,0.5,-,0.01,0.01
0.000099,2,5,0.5,-,0.01,0.05
0.000025,2,5,0.5,-,0.01,0.1
0.002678,2,5,0.5,-,0.05,0.01
0.000154,2,5,0.5,-,0.05,0.05
0.024190,2,5,0.5,-,0.05,0.1
0.000001,2,5,0.5,-,0.1,0.01
0.002635,2,5,0.5,-,0.1,0.05
0.000053,2,5,0.5,-,0.1,0.1
0.000002,2,5,0.75,-,0.01,0.01
0.000000,2,5,0.75,-,0.01,0.05
0.000026,2,5,0.75,-,0.01,0.1
0.004700,2,5,0.75,-,0.05,0.01
0.073267,2,5,0.75,-,0.05,0.05
0.000253,2,5,0.75,-,0.05,0.1
0.000611,2,5,0.75,-,0.1,0.01
0.000001,2,5,0.75,-,0.1,0.05
0.000045,2,5,0.75,-,0.1,0.1
0.000001,2,5,1.0,-,0.01,0.01
0.001034,2,5,1.0,-,0.01,0.05
0.009447,2,5,1.0,-,0.01,0.1
0.000182,2,5,1.0,-,0.05,0.01
0.000005,2,5,1.0,-,0.05,0.05
0.000040,2,5,1.0,-,0.05,0.1
0.000001,2,5,1.0,-,0.1,0.01
0.001538,2,5,1.0,-,0.1,0.05
0.000003,2,5,1.0,-,0.1,0.1
0.001537,2,6,0.0,-,0.01,0.01
0.000007,2,6,0.0,-,0.01,0.05
0.000368,2,6,0.0,-,0.01,0.1
0.000002,2,6,0.0,-,0.05,0.01
0.000140,2,6,0.0,-,0.05,0.05
0.000029,2,6,0.0,-,0.05,0.1
0.000000,2,6,0.0,-,0.1,0.01
0.000138,2,6,0.0,-,0.1,0.05
0.003026,2,6,0.0,-,0.1,0.1
0.000001,2,6,0.25,-,0.01,0.01
0.000017,2,6,0.25,-,0.01,0.05
0.000002,2,6,0.25,-,0.01,0.1
0.000018,2,6,0.25,-,0.05,0.01
0.007446,2,6,0.25,-,0.05,0.05
0.000001,2,6,0.25,-,0.05,0.1
0.000000,2,6,0.25,-,0.1,0.01
0.000074,2,6,0.25,-,0.1,0.05
0.016509,2,6,0.25,-,0.1,0.1
0.000128,2,6,0.5,-,0.01,0.01
