MBF,xover,mutation,mixingfactor,p1,p2,p3
0.001555,1,4,0.0,0.01,-,-
0.000249,1,4,0.0,0.05,-,-
0.001414,1,4,0.0,0.1,-,-
0.001976,1,4,0.25,0.01,-,-
0.001871,1,4,0.25,0.05,-,-
0.001760,1,4,0.25,0.1,-,-
0.000298,1,4,0.5,0.01,-,-
0.002918,1,4,0.5,0.05,-,-
0.015947,1,4,0.5,0.1,-,-
0.003880,1,4,0.75,0.01,-,-
0.013880,1,4,0.75,0.05,-,-
0.012829,1,4,0.75,0.1,-,-
0.003175,1,4,1.0,0.01,-,-
0.009386,1,4,1.0,0.05,-,-
0.000241,1,4,1.0,0.1,-,-
0.049083,1,5,0.0,-,0.01,0.01
0.011160,1,5,0.0,-,0.01,0.05
0.001861,1,5,0.0,-,0.01,0.1
0.001052,1,5,0.0,-,0.05,0.01
0.033386,1,5,0.0,-,0.05,0.05
0.000659,1,5,0.0,-,0.05,0.1
0.011749,1,5,0.0,-,0.1,0.01
0.003102,1,5,0.0,-,0.1,0.05
0.000922,1,5,0.0,-,0.1,0.1
0.000777,1,5,0.25,-,0.01,0.01
0.000801,1,5,0.25,-,0.01,0.05
0.000790,1,5,0.25,-,0.01,0.1
0.002339,1,5,0.25,-,0.05,0.01
0.005826,1,5,0.25,-,0.05,0.05
0.002739,1,5,0.25,-,0.05,0.1
0.003580,1,5,0.25,-,0.1,0.01
0.005209,1,5,0.25,-,0.1,0.05
0.014748,1,5,0.25,-,0.1,0.1
0.000401,1,5,0.5,-,0.01,0.01
0.001161,1,5,0.5,-,0.01,0.05
0.001273,1,5,0.5,-,0.01,0.1
0.001966,1,5,0.5,-,0.05,0.01
0.007502,1,5,0.5,-,0.05,0.05
0.000191,1,5,0.5,-,0.05,0.1
0.001585,1,5,0.5,-,0.1,0.01
0.000309,1,5,0.5,-,0.1,0.05
0.003174,1,5,0.5,-,0.1,0.1
0.000858,1,5,0.75,-,0.01,0.01
0.003319,1,5,0.75,-,0.01,0.05
0.002022,1,5,0.75,-,0.01,0.1
0.000911,1,5,0.75,-,0.05,0.01
0.000383,1,5,0.75,-,0.05,0.05
0.003888,1,5,0.75,-,0.05,0.1
0.003233,1,5,0.75,-,0.1,0.01
0.000577,1,5,0.75,-,0.1,0.05
0.028518,1,5,0.75,-,0.1,0.1
0.001031,1,5,1.0,-,0.01,0.01
0.008899,1,5,1.0,-,0.01,0.05
0.000978,1,5,1.0,-,0.01,0.1
0.001563,1,5,1.0,-,0.05,0.01
0.000715,1,5,1.0,-,0.05,0.05
0.025845,1,5,1.0,-,0.05,0.1
0.006265,1,5,1.0,-,0.1,0.01
0.001965,1,5,1.0,-,0.1,0.05
0.002514,1,5,1.0,-,0.1,0.1
0.007995,1,6,0.0,-,0.01,0.01
0.005052,1,6,0.0,-,0.01,0.05
0.000836,1,6,0.0,-,0.01,0.1
0.000574,1,6,0.0,-,0.05,0.01
0.000776,1,6,0.0,-,0.05,0.05
0.003111,1,6,0.0,-,0.05,0.1
