MBF,xover,mutation,mixingfactor,p1,p2,p3
6.946113,1,6,0.7,-,0.1,0.3
6.883594,2,6,0.3,-,0.5,0.1
6.870727,2,6,0.3,-,0.3,0.3
6.840065,2,6,0.3,-,0.7,0.5
6.813879,2,6,0.1,-,0.3,0.7
6.700829,2,6,0.1,-,0.1,0.7
6.698471,2,6,0.3,-,0.7,0.7
6.686586,2,6,0.1,-,0.5,0.7
4.039735,3,6,0.7,-,0.1,0.1
3.958693,3,6,0.7,-,0.3,0.1
3.757599,3,6,0.5,-,0.5,0.5
3.507971,3,6,0.1,-,0.5,0.7
3.498139,3,6,0.5,-,0.1,0.3
3.452851,3,6,0.1,-,0.3,0.1
3.441369,3,6,0.1,-,0.5,0.1
3.388963,3,6,0.3,-,0.5,0.1
3.319385,3,6,0.1,-,0.1,0.3
3.317336,3,6,0.3,-,0.5,0.3
3.315818,3,6,0.7,-,0.1,0.3
3.264757,3,6,0.1,-,0.7,0.1
3.208632,3,6,0.5,-,0.3,0.5
3.194844,3,6,0.3,-,0.1,0.3
3.170554,3,6,0.7,-,0.5,0.7
3.15485,3,6,0.1,-,0.3,0.3
3.115104,3,6,0.5,-,0.1,0.1
3.089182,3,6,0.5,-,0.3,0.3
3.081021,3,6,0.1,-,0.7,0.3
3.063155,3,6,0.7,-,0.3,0.5
3.06062,3,6,0.5,-,0.3,0.1
3.059822,3,6,0.3,-,0.3,0.1
3.031252,3,6,0.7,-,0.7,0.3
3.02356,3,6,0.7,-,0.3,0.7
3.022762,3,6,0.7,-,0.7,0.5
3.012405,3,6,0.5,-,0.5,0.1
3.011417,3,6,0.3,-,0.7,0.5
2.971154,3,6,0.7,-,0.5,0.1
2.970453,3,6,0.3,-,0.5,0.7
2.950364,3,6,0.7,-,0.5,0.5
2.943668,3,6,0.3,-,0.3,0.3
2.931454,3,6,0.5,-,0.7,0.1
2.929695,3,6,0.3,-,0.7,0.7
2.898099,3,6,0.7,-,0.5,0.3
2.880365,3,6,0.1,-,0.5,0.3
2.868396,3,6,0.1,-,0.5,0.5
2.864021,3,6,0.3,-,0.1,0.1
2.855073,3,6,0.3,-,0.3,0.7
2.81185,3,6,0.5,-,0.3,0.7
2.798314,3,6,0.7,-,0.3,0.3
2.780422,3,6,0.7,-,0.1,0.7
2.77923,3,6,0.1,-,0.7,0.5
2.750277,3,6,0.5,-,0.1,0.5
2.73313,3,6,0.5,-,0.5,0.3
2.696232,3,6,0.3,-,0.5,0.5
2.674679,3,6,0.5,-,0.7,0.3
2.67206,3,6,0.3,-,0.7,0.3
2.667429,3,6,0.1,-,0.1,0.1
2.609573,3,6,0.7,-,0.1,0.5
2.609518,3,6,0.7,-,0.7,0.7
2.608688,3,6,0.1,-,0.1,0.5
2.533569,3,6,0.3,-,0.1,0.7
2.515431,3,6,0.5,-,0.7,0.7
2.492051,3,6,0.3,-,0.3,0.5
2.487033,3,6,0.1,-,0.3,0.7
2.444311,3,6,0.3,-,0.7,0.1
2.432847,3,6,0.5,-,0.1,0.7
2.393544,3,6,0.5,-,0.7,0.5
2.336066,3,6,0.5,-,0.5,0.7
2.304331,3,6,0.7,-,0.7,0.1
2.267177,3,6,0.3,-,0.1,0.5
2.262311,3,6,0.1,-,0.7,0.7
2.262094,3,6,0.1,-,0.3,0.5
2.060372,3,6,0.1,-,0.1,0.7
